# in-window irreducibles of odd degree over F_{3^11}
# f = T^n + g monic irreducible, deg g <= floor(n/2).
# carrier F3 means g has F_3 coefficients; since 11 is prime and
# 11 does not divide n, such an f stays irreducible over F_{3^11}.
# g is stored as the base-3 digit string of its coefficient vector
# (low degree first; 11 trits per F_{3^11} coefficient), packed
# into one integer and printed in hex.
# n|carrier|tail_base3_hex|tries|seconds
891|F3^11|0x118ea21a87b13da4b8170cf8bcd8ad63c7ae83a898c4d1a77bda2238c7737c26a5946e01384d787cb7ce8ae50b2b3d8ebbb5d9cd91f096eaf440ac97f5c6d0a16157a8159c9d6c0e77131c83623773a611272858a0fca63e9a3567ae34fc582e6173f5d77e8b053df4230c5a727ec9e1d3ce4ab3db7a58e74a9d0c05ca3316e541b44a6db11614ac9fc43eeb79bd92cf30d6cbcc663fd62dd88b9b184355090a33a08613c6e0fda5b9c8921f3159ca5df3cc229c36e71600669804bf81e9ac7137c2b06c87fa8cef55983ab21c4664f6bde310cb79f276188bfe25a7c7f49328cd88a3880509ada78bcb0b1351d1801cf3da9acb12d1e3017f79e60f30988d1c2c7d12daeb46b50010dbe56eaa214c8905dec7ffdda3aaf9513ff7ad50d7007bf441f7d284a5f680824cd23d4d81e40d275427a8325adf3952d80ad15613884c2ef7d9757e953f276e57a9d18b83b399c73ac18235bb99feb6dba9f6b1b3bfef4bd36548ac85a77ce549b290dfbc7e97e053b6b3a67f51692d017be2a470f52875413c32f0a06ebc84f497f15367d6950b39df0a2ee74f7f7b3466a583428ba3c52fa6b6518b3f65beb680135edaae217e3160996b004a753e4b7b9dde8974d42fc61e27b323f65c0e9e267130b3dd17d44edb524583bcf6d95180a2cd10f7ca60ec0b072e956199ff50741ca3bb2c97a5530c2d2b1033d8a6f0ca1bdfbc041c47e1502ab5411f2fa46d83bd8426ecc9bd46ba0f55f1cbaecc633f5930367e9c3a90637a64041c64a967c9a36682428ffc457ed4995736b37e8a2d55a3982750c05b7a144ccd70b1bf8ca2e0c8a43635d2949937bca7d339bec42edab83cc077d427092b5fb213f345a736cf3c2ddc9de612cfbba02f7e4612d4becf9bcc0954c62d57016711c32f86a1fca79ea27536d6a134b1c6e640bac8916c3429ead24faf86072271231a2e79249143cc512b336e6351f58c1f7b2c2fa0157acb0c788b7c3a6c81fe14801c55fc7a08ba91482f604fa47038331b888662aa1c1e75ab351ba0ea89e6cfbb58115213aff873fdfae88c9364b33e6a20c3d7956550970aebc48b06f9dceec4f66a34617d85c5e5094399a2645993a927b7817ff2559acfb2989af32a17742bcfaa8587fcde3acf2c1b675ee7cfaa3ec4778fd6819fcbe71016d74ff18b320c599aa1a547a42a92a55e4e1e1b728afd3e20ce4b7ff13d61dd8b2bebb9e1c84794c19bc6475c6cfdc739ac3e4b6274b6d5039b74a33c9075370cd5192de7f9fefa5c93dc36039b0f899d82c67bb4b0c6c281922e1a749a5cdac912f261a99aca2c9eb6ecb61b39f84f1c50adc1ab18182bcc3d510668ac9239bd06ac1512642e559bc36415|190|248.9
893|F3|0xaf765008c4b3fa6fda1a7978c85d9352c2c67f46ccdc1b4dce2a6a793319bb48dcf1906de226d9f64ea053b77e8e843368f911ce659cf90233c62baaadc0aa992803f84361cb445db020a7bd841d61148c1cf341d19a8be07|632|9.9
895|F3|0x2bfb56021f040bf393995a4a201f0b544313f4c104599a935d7c59c025f892dd1bd71f2caa81571f41cc1271c87de539b7e8e23e8538eec5be79282471211ba9e266a5b9bc4590d0b550a57884f6b69028511a582aeecb1b91|915|14.3
897|F3|0xb84e2492001e211ce0fcac3bc99aca158c8bd03b6aa73c6d7af5b630aae3d65e261093ac79dd75709d3d7bbb10000a2832568cd1165d5f9f59d7b065190c89ab51163da600f3160ca2173d995786e6fae16cf1faf1d1a6a097|367|6.1
899|F3|0x142375aeeb1711e78989ad054379b1bfc56fb4c470febcc63dc1450597aeefb41e7224674ea845fb18b25e3a8c07cd5e99554001551658cdcfaf6ac02505fafded475da612981e41074829a32be92eb4b7096614f1858415510|440|6.2
901|F3|0x22f81109db73b093a1a49cd24b245d10105b8c6d1464a26157108097a64d945d0036b035bfdc59328c6c180f5eabe77a848887d377c7f06bb5c3e1ca267d4384e09bd98b0881ae08fe592f2c2d2f0e48896861dcbc27c4a9cbf|1590|33.6
903|F3|0xb728f83970e7faeb95a6944973692c6437a85a4c0b2ae52e3f923562c92b229dc9d03e6ca28a06c16d2806cbc68ff744f39171fcc98ca72c8b3e272cf58c44e59985ba6e51f39daa42f4ef4a74bcfdce6b2b70f154211d3f43e|846|16.3
905|F3|0x25d845dee3d556522a8dc2e206470d674118d05f48af5bc1e08a4688cfd34c7ff6b4c04bbdfc0c1ca87e209edf66e020539eb54b5da18d99f76968b07b6cfdff19cf9caf54621f36a98dc91836abda489ffbd311a1178f5d7d04|3747|62.1
907|F3|0xa93948ecff3f70a1f48b190f4218e4871b4522983408cb5f4c0bc550fa22544a30d7bbc221c39b808b0b7f80c8fef47cb7345c5e61afc8c66870b57cd584d3eaf0b728dc66c2cd38791220751f4771a6a2bed910237584039e|556|11.9
909|F3|0xd5807f3bd9ed5bc9e53048c4520ae4c6865d37bfa624f27e3bc8ac2ffba1b733ced47118f60bbcb2164b7f9cd1a05cc3283b5fe6ec4b89a5ebc77182f9f3ab68ccd855d3630f177842afee1ac67db1836a309eb2c8139041e623|1228|18.9
